prime,index,p2p
13033,1551,1314
13037,1552,1313
13043,1553,1313
13049,1554,1312
13063,1555,1316
13093,1556,1321
13099,1557,1321
13103,1558,1321
13109,1559,1321
13121,1560,1322
13127,1561,1323
13147,1562,1326
13151,1563,1326
13159,1564,1327
13163,1565,1327
13171,1566,1327
13177,1567,1327
13183,1568,1327
13187,1569,1327
13217,1570,1333
13219,1571,1333
13229,1572,1333
13241,1573,1334
13249,1574,1335
13259,1575,1336
13267,1576,1335
13291,1577,1338
13297,1578,1338
13309,1579,1338
13313,1580,1337
13327,1581,1340
13331,1582,1339
13337,1583,1339
13339,1584,1338
13367,1585,1349
13381,1586,1350
13397,1587,1351
13399,1588,1350
13411,1589,1352
13417,1590,1352
13421,1591,1352
13441,1592,1356
13451,1593,1357
13457,1594,1357
13463,1595,1357
13469,1596,1357
13477,1597,1359
13487,1598,1359
13499,1599,1361
13513,1600,1362
13523,1601,1363
13537,1602,1366
13553,1603,1368
13567,1604,1370
13577,1605,1370
13591,1606,1370
13597,1607,1370
13613,1608,1371
13619,1609,1370
13627,1610,1372
13633,1611,1372
13649,1612,1375
13669,1613,1377
13679,1614,1376
13681,1615,1376
13687,1616,1376
13691,1617,1375
13693,1618,1374
13697,1619,1373
13709,1620,1375
13711,1621,1374
13721,1622,1376
13723,1623,1375
13729,1624,1376
13751,1625,1378
13757,1626,1378
13759,1627,1377
13763,1628,1376
13781,1629,1380
13789,1630,1379
13799,1631,1380
13807,1632,1380
13829,1633,1383
13831,1634,1382
13841,1635,1382
13859,1636,1385
13873,1637,1388
13877,1638,1389
13879,1639,1388
13883,1640,1388
13901,1641,1393
13903,1642,1393
13907,1643,1393
13913,1644,1394
13921,1645,1394
13931,1646,1395
13933,1647,1394
13963,1648,1398
13967,1649,1397
13997,1650,1403
13999,1651,1403
14009,1652,1403
14011,1653,1403
14029,1654,1406
14033,1655,1405
14051,1656,1409
14057,1657,1410
14071,1658,1410
14081,1659,1410
14083,1660,1410
14087,1661,1409
14107,1662,1412
14143,1663,1416
14149,1664,1417
14153,1665,1416
14159,1666,1417
14173,1667,1417
14177,1668,1418
14197,1669,1419
14207,1670,1421
14221,1671,1423
14243,1672,1425
14249,1673,1425
14251,1674,1425
14281,1675,1431
14293,1676,1433
14303,1677,1435
14321,1678,1439
14323,1679,1439
14327,1680,1439
14341,1681,1442
14347,1682,1442
14369,1683,1446
14387,1684,1449
14389,1685,1448
14401,1686,1449
14407,1687,1450
14411,1688,1450
14419,1689,1450
14423,1690,1450
14431,1691,1450
14437,1692,1451
14447,1693,1451
14449,1694,1450
14461,1695,1452
14479,1696,1454
14489,1697,1454
14503,1698,1454
14519,1699,1459
14533,1700,1460
14537,1701,1459
14543,1702,1459
14549,1703,1458
14551,1704,1458
14557,1705,1457
14561,1706,1456
14563,1707,1456
14591,1708,1463
14593,1709,1462
14621,1710,1467
14627,1711,1468
14629,1712,1467
14633,1713,1466
14639,1714,1466
14653,1715,1468
14657,1716,1468
14669,1717,1469
14683,1718,1471
14699,1719,1473
14713,1720,1476
14717,1721,1476
14723,1722,1477
14731,1723,1477
14737,1724,1477
14741,1725,1476
14747,1726,1476
14753,1727,1476
14759,1728,1475
14767,1729,1476
14771,1730,1476
14779,1731,1475
14783,1732,1474
14797,1733,1478
14813,1734,1479
14821,1735,1481
14827,1736,1480
14831,1737,1479
14843,1738,1482
14851,1739,1481
14867,1740,1482
14869,1741,1481
14879,1742,1482
14887,1743,1483
14891,1744,1482
14897,1745,1482
14923,1746,1485
14929,1747,1485
14939,1748,1487
14947,1749,1488
14951,1750,1487
14957,1751,1486
14969,1752,1488
14983,1753,1489
15013,1754,1492
15017,1755,1492
15031,1756,1493
15053,1757,1497
15061,1758,1499
15073,1759,1501
15077,1760,1500
15083,1761,1500
15091,1762,1501
15101,1763,1502
15107,1764,1503
15121,1765,1504
15131,1766,1505
15137,1767,1506
15139,1768,1505
15149,1769,1505
15161,1770,1507
15173,1771,1508
15187,1772,1509
15193,1773,1508
15199,1774,1509
15217,1775,1511
15227,1776,1511
15233,1777,1510
15241,1778,1511
15259,1779,1515
15263,1780,1514
15269,1781,1514
15271,1782,1514
15277,1783,1514
15287,1784,1515
15289,1785,1515
15299,1786,1515
15307,1787,1514
15313,1788,1513
15319,1789,1514
15329,1790,1515
15331,1791,1515
15349,1792,1518
15359,1793,1520
15361,1794,1519
15373,1795,1519
15377,1796,1518
15383,1797,1519
15391,1798,1520
15401,1799,1519
15413,1800,1521
15427,1801,1525
15439,1802,1527
15443,1803,1527
15451,1804,1527
15461,1805,1527
15467,1806,1527
15473,1807,1528
15493,1808,1531
15497,1809,1530
15511,1810,1531
15527,1811,1533
